DATE;CMIG4;SUZB3
03/03/2021 14:00;11.77;73.5
03/03/2021 10:00;11.52;72.53
02/03/2021 14:00;11.87;73.53
02/03/2021 10:00;11.43;74.01
01/03/2021 14:00;11.53;74.49
01/03/2021 10:00;11.79;74.07
26/02/2021 14:00;11.96;73.17
26/02/2021 10:00;12.11;74.4
25/02/2021 14:00;11.97;74.39
25/02/2021 10:00;12.29;75.49
24/02/2021 14:00;12.38;75.76
24/02/2021 10:00;12.4;76.82
23/02/2021 14:00;12.42;76.61
23/02/2021 10:00;12.52;75.86
22/02/2021 14:00;12.3;76.88
22/02/2021 10:00;12.15;78.62
19/02/2021 14:00;12.74;75.03
19/02/2021 10:00;12.84;74.73
18/02/2021 14:00;12.9;74.04
18/02/2021 10:00;12.92;73.9
17/02/2021 14:00;13.24;72.39
17/02/2021 10:00;13.19;71.92
12/02/2021 14:00;13.53;70.72
12/02/2021 10:00;13.5;70.34
11/02/2021 14:00;13.74;70.66
11/02/2021 10:00;13.88;69.81
10/02/2021 14:00;13.73;68.2
10/02/2021 10:00;13.73;67.67
09/02/2021 14:00;13.92;66.7
09/02/2021 10:00;14.18;66.14
08/02/2021 14:00;14.16;65.97
08/02/2021 10:00;14.37;66.57
05/02/2021 14:00;14.14;66.5
05/02/2021 10:00;14.28;66.26
04/02/2021 14:00;14.29;64.66
04/02/2021 10:00;14.31;64.02
03/02/2021 14:00;14.42;63.85
03/02/2021 10:00;14.53;63.07
02/02/2021 14:00;14.28;63.08
02/02/2021 10:00;14.39;62.07
01/02/2021 14:00;14.14;64.23
01/02/2021 10:00;13.96;62.95
29/01/2021 14:00;13.7;62.05
29/01/2021 10:00;13.96;62.3
28/01/2021 14:00;14.15;62.93
28/01/2021 10:00;14.06;62.87
27/01/2021 14:00;13.46;62.3
27/01/2021 10:00;13.42;63.46
26/01/2021 14:00;13.48;66.2
26/01/2021 10:00;13.6;65.88
22/01/2021 14:00;13.8;64.36
22/01/2021 10:00;13.61;64.81
21/01/2021 14:00;13.83;65.43
21/01/2021 10:00;13.82;65.21
20/01/2021 14:00;13.84;65.9
20/01/2021 10:00;13.88;66.25
